"Callback comments","Komente për kthimin e thirrjeve"
"Transaction mode","Mënyra e transaksionit"
"Bank account details to transfer the amount","Detajet e llogarisë bankare për të transferuar shumën"
"Guarantee payment pending comments","Garantoni pagesa në pritje të komenteve"
"Transaction ID","ID e transaksionit"
"Payment method","Metoda e pagesës"
"novalnetCreditCard","Kartat e kreditit/debitit"
"novalnetSepa","Debiti i drejtpërdrejtë SEPA"
"novalnetInvoice","Faturë"
"novalnetPrepayment","Përgatitje"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

