"Callback comments","Коментари за повратен повик"
"Transaction mode","Режим на трансакција"
"Bank account details to transfer the amount","Детали за банкарската сметка за пренесување на износот"
"Guarantee payment pending comments","Гаранција за плаќање во очекување на коментарите"
"Transaction ID","ИД на трансакција"
"Payment method","Метод за плаќање"
"novalnetCreditCard","Кредитни/дебитни картички"
"novalnetSepa","Директен дебитен СЕПА"
"novalnetInvoice","Фактура"
"novalnetPrepayment","Претплата"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

