"Callback comments","Коментари повратног позива"
"Transaction mode","Режим трансакције"
"Bank account details to transfer the amount","Детаљи банковног рачуна за пренос износа"
"Guarantee payment pending comments","Гаранција плаћања у чекању коментара"
"Transaction ID","ИД трансакције"
"Payment method","Начин плаћања"
"novalnetCreditCard","Кредитне / дебитне картице"
"novalnetSepa","Директни дебит сепа"
"novalnetInvoice","Фактура"
"novalnetPrepayment","Преплата"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

